Sample Names	MutationTypes	Signature A	Signature B
PD4194a	TG>AT	1.0	0.0
PD4194a	TG>CA	1.0	0.0
PD4194a	TG>CC	1.0	0.0
PD4194a	TG>CT	1.0	0.0
PD4194a	TG>GA	1.0	0.0
PD4194a	TG>GC	1.0	0.0
PD4194a	TG>GT	1.0	0.0
PD4194a	TT>AA	1.0	0.0
PD4194a	TT>AC	1.0	0.0
PD4194a	TT>AG	1.0	0.0
PD4194a	TT>CA	1.0	0.0
PD4194a	TT>CC	1.0	0.0
PD4194a	TT>CG	1.0	0.0
PD4194a	TT>GA	1.0	0.0
PD4194a	TT>GC	1.0	0.0
PD4194a	TT>GG	1.0	0.0
PD4248a	AC>CA	1.0	0.0
PD4248a	AC>CG	1.0	0.0
PD4248a	AC>CT	1.0	0.0
PD4248a	AC>GA	1.0	0.0
PD4248a	AC>GG	1.0	0.0
PD4248a	AC>GT	1.0	0.0
PD4248a	AC>TA	1.0	0.0
PD4248a	AC>TG	1.0	0.0
PD4248a	AC>TT	1.0	0.0
PD4248a	AT>CA	1.0	0.0
PD4248a	AT>CC	1.0	0.0
PD4248a	AT>CG	1.0	0.0
PD4248a	AT>GA	1.0	0.0
PD4248a	AT>GC	1.0	0.0
PD4248a	AT>TA	1.0	0.0
PD4248a	CC>AA	1.0	0.0
PD4248a	CC>AG	1.0	0.0
PD4248a	CC>AT	1.0	0.0
PD4248a	CC>GA	1.0	0.0
PD4248a	CC>GG	1.0	0.0
PD4248a	CC>GT	1.0	0.0
PD4248a	CC>TA	1.0	0.0
PD4248a	CC>TG	1.0	0.0
PD4248a	CC>TT	1.0	0.0
PD4248a	CG>AT	1.0	0.0
PD4248a	CG>GC	1.0	0.0
PD4248a	CG>GT	1.0	0.0
PD4248a	CG>TA	1.0	0.0
PD4248a	CG>TC	1.0	0.0
PD4248a	CG>TT	1.0	0.0
PD4248a	CT>AA	1.0	0.0
PD4248a	CT>AC	1.0	0.0
PD4248a	CT>AG	1.0	0.0
PD4248a	CT>GA	1.0	0.0
PD4248a	CT>GC	1.0	0.0
PD4248a	CT>GG	1.0	0.0
PD4248a	CT>TA	1.0	0.0
PD4248a	CT>TC	1.0	0.0
PD4248a	CT>TG	1.0	0.0
PD4248a	GC>AA	1.0	0.0
PD4248a	GC>AG	1.0	0.0
PD4248a	GC>AT	1.0	0.0
PD4248a	GC>CA	1.0	0.0
PD4248a	GC>CG	1.0	0.0
PD4248a	GC>TA	1.0	0.0
PD4248a	TA>AT	1.0	0.0
PD4248a	TA>CG	1.0	0.0
PD4248a	TA>CT	1.0	0.0
PD4248a	TA>GC	1.0	0.0
PD4248a	TA>GG	1.0	0.0
PD4248a	TA>GT	1.0	0.0
PD4248a	TC>AA	1.0	0.0
PD4248a	TC>AG	1.0	0.0
PD4248a	TC>AT	1.0	0.0
PD4248a	TC>CA	1.0	0.0
PD4248a	TC>CG	1.0	0.0
PD4248a	TC>CT	1.0	0.0
PD4248a	TC>GA	1.0	0.0
PD4248a	TC>GG	1.0	0.0
PD4248a	TC>GT	1.0	0.0
PD4248a	TG>AA	1.0	0.0
PD4248a	TG>AC	1.0	0.0
PD4248a	TG>AT	1.0	0.0
PD4248a	TG>CA	1.0	0.0
PD4248a	TG>CC	1.0	0.0
PD4248a	TG>CT	1.0	0.0
PD4248a	TG>GA	1.0	0.0
PD4248a	TG>GC	1.0	0.0
PD4248a	TG>GT	1.0	0.0
PD4248a	TT>AA	1.0	0.0
PD4248a	TT>AC	1.0	0.0
PD4248a	TT>AG	1.0	0.0
PD4248a	TT>CA	1.0	0.0
PD4248a	TT>CC	1.0	0.0
PD4248a	TT>CG	1.0	0.0
PD4248a	TT>GA	1.0	0.0
PD4248a	TT>GC	1.0	0.0
PD4248a	TT>GG	1.0	0.0
PD4120a	AC>CA	0.0	1.0
PD4120a	AC>CG	0.0	1.0
PD4120a	AC>CT	0.0	1.0
PD4120a	AC>GA	0.0	1.0
PD4120a	AC>GG	0.0	1.0
PD4120a	AC>GT	0.0	1.0
PD4120a	AC>TA	0.0	1.0
PD4120a	AC>TG	0.0	1.0
PD4120a	AC>TT	0.0	1.0
PD4120a	AT>CA	0.0	1.0
PD4120a	AT>CC	0.0	1.0
PD4120a	AT>CG	0.0	1.0
PD4120a	AT>GA	0.0	1.0
PD4120a	AT>GC	0.0	1.0
PD4120a	AT>TA	0.0	1.0
PD4120a	CC>AA	0.0	1.0
PD4120a	CC>AG	0.0	1.0
PD4120a	CC>AT	0.0	1.0
PD4120a	CC>GA	0.0	1.0
PD4120a	CC>GG	0.0	1.0
PD4120a	CC>GT	0.0	1.0
PD4120a	CC>TA	0.0	1.0
PD4120a	CC>TG	0.0	1.0
PD4120a	CC>TT	0.0	1.0
PD4120a	CG>AT	0.0	1.0
PD4120a	CG>GC	0.0	1.0
PD4120a	CG>GT	0.0	1.0
PD4120a	CG>TA	0.0	1.0
